symbol,pre_alert_date,signal_date,entry_date,entry_type,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,risk_pct,overall_score,had_pre_alert,pre_alert_days_before
AMZN,,2023-05-26,2023-05-26,handle,120.11000061035156,99.12700149536133,183.05899795532227,2023-07-20,129.81749420166014,trailing_stop,8.082169296460687,36,17.469818506671324,90.0,False,
AMZN,2023-12-11,2023-12-15,2023-12-15,handle,149.97000122070312,136.72960418701172,189.69119232177735,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,8.828697023350822,99.0,True,4.0
AMZN,2024-11-01,2024-11-06,2024-11-06,handle,207.08999633789062,181.52539581298828,283.78379791259766,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.344681528310437,100.0,True,3.0
AMZN,,2024-12-20,2024-12-20,handle,224.9199981689453,191.835,324.17499267578125,2024-12-31,219.38999938964844,time,-2.4586514424311434,6,14.709673856610117,96.0,False,
GOOGL,,2023-08-29,2023-08-29,handle,133.64822387695312,115.06201929758964,189.40683761504357,2023-11-22,137.54136657714844,time,2.912977507115725,60,13.906810012286716,92.66666666666666,False,
GOOGL,,2024-12-11,2024-12-11,pivot_breakout,194.76502990722656,157.0969944204183,307.76913636765136,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,19.34024578475452,100.0,False,
MSFT,,2023-05-25,2023-05-25,handle,319.804443359375,264.22126273088537,486.5539852448439,2023-07-18,341.9027799635537,trailing_stop,6.909952961268292,35,17.38036533971135,96.66666666666666,False,
META,,2024-05-01,2024-05-01,low_cheat,436.9622497558594,404.1495356589233,535.4003920466675,2024-05-31,456.0499363858009,trailing_stop,4.3682690302437415,21,7.509278917176318,100.0,False,
META,,2024-07-05,2024-07-05,handle,537.70458984375,481.3324836574293,706.8209084027121,2024-07-17,481.3324836574293,stop,-10.483843220066563,8,10.483843220066563,100.0,False,
NVDA,,2021-12-07,2021-12-07,handle,32.36610794067383,23.398629930687235,59.268541970633606,2022-01-21,23.398629930687235,stop,-27.706383561544467,31,27.706383561544467,96.0,False,
NVDA,2024-01-05,2024-01-08,2024-01-08,pivot_breakout,52.226806640625,44.08381721023219,76.65577493180342,2024-02-13,70.84492633799096,trailing_stop,35.64858909616679,25,15.591589748967586,96.0,True,1.0
AMD,2022-01-31,2022-02-01,2022-02-01,pivot_breakout,116.77999877929688,97.81379760742188,173.67860229492186,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,16.24096709207826,89.33333333333334,True,1.0
AVGO,2023-02-27,2023-02-28,2023-02-28,handle,56.929534912109375,52.48830585950479,70.25322206992313,2023-03-13,58.61144166870644,trailing_stop,2.9543658826541903,9,7.801274082883642,95.66666666666666,True,1.0
AVGO,,2023-05-31,2023-05-31,handle,77.9549560546875,56.85437860232891,141.25668841176326,2023-06-22,81.57238699293637,trailing_stop,4.640411747151968,15,27.06765357876152,96.0,False,
AVGO,2023-08-30,2023-08-31,2023-08-31,pivot_breakout,89.5182113647461,77.83804009756076,124.55872516630208,2023-09-21,77.83804009756076,stop,-13.04781573393366,14,13.04781573393366,99.0,True,1.0
MU,,2023-05-15,2023-05-15,handle,63.867958068847656,56.19016236513489,86.90134517998595,2023-05-26,70.01416937168715,trailing_stop,9.623309541560834,9,12.021357713419215,93.66666666666666,False,
MU,,2023-09-22,2023-09-22,handle,68.18536376953125,59.90472908690761,93.02726781740218,2023-11-28,74.33232099370083,trailing_stop,9.015068460947862,46,12.144299340562965,96.0,False,
MU,,2024-06-17,2024-06-17,handle,146.9212646484375,117.86081934643278,234.10260055445167,2024-07-18,117.86081934643278,stop,-19.77960465528417,21,19.77960465528417,100.0,False,
